Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
131,Valsad (ST),Dhavalbhai Patel,धवल लक्ष्मणभाई पटेल,Bharatiya Janata Party,,,Gujurat
132,Ambala,Varun Chaudhary,वरुण चौधरी,Indian National Congress,,,Haryana
133,Kurukshetra,Naveen Jindal,नवीन जिन्दल,Bharatiya Janata Party,,,Haryana
134,Sirsa,Selja Kumari,शैलजा कुमारी,Indian National Congress,,,Haryana
135,Hisar,Jai Parkash,जय प्रकाश,Indian National Congress,,,Haryana
136,Karnal,Manohar Lal Khattar,मनोहर लाल खट्टर,Bharatiya Janata Party,,,Haryana
137,Sonipat,Satpal Brahamchari,सतपाल ब्रहमचारी,Indian National Congress,,,Haryana
138,Rohtak,Deepender Singh Hooda,दीपेंद्र सिंह हुड्डा,Indian National Congress,,,Haryana
139,Bhiwani–Mahendragarh,Dharambir Singh Chaudhary,धरमबीर,Bharatiya Janata Party,,,Haryana
140,Gurgaon,Rao Inderjit Singh,राव इंद्रजीत सिंह,Bharatiya Janata Party,,,Haryana
141,Faridabad,Krishan Pal Gurjar,कृष्ण पाल गुर्जर,Bharatiya Janata Party,,,Haryana
142,Mandi,Kangana Ranaut,कंगना रनौत,Bharatiya Janata Party,,,Himachal Pradesh
143,Kangra,Rajeev Bhardwaj,राजीव भारद्वाज,Rajeev Bhardwaj,,,Himachal Pradesh
144,Hamirpur,Anurag Thakur,अनुराग ठाकुर,Anurag Thakur,,,Himachal Pradesh
145,Shimla (SC),Suresh Kumar Kashyap,सुरेश कुमार कश्यप,Suresh Kumar Kashyap,,,Himachal Pradesh
146,Baramulla,Sheikh Er Rashid,शेख अब्दुल राशिद,Independent,,,Jammu and Kashmir
147,Srinagar,Aga Syed Ruhullah Mehdi,आगा सैयद रुहुल्लाह मेहदी,Jammu & Kashmir National Conference,,,Jammu and Kashmir
148,Anantnag–Rajouri,Mian Altaf Ahmed Larvi,मियां अल्ताफ अहमद लार्वी,Jammu & Kashmir National Conference,,,Jammu and Kashmir
